kanji	katakana	meaning	
繁栄	はんえい	prospering, prosperity, flourishing	 MediaMissing 
版画	はんが	art print	 MediaMissing 
ハンガー	ハンガー	(coat) hanger	 MediaMissing 
反感	はんかん	antipathy, revolt, animosity	 MediaMissing 
反響	はんきょう	echo, reverberation, repercussion	 MediaMissing 
パンク	パンク	puncture, bursting; punk	 MediaMissing 
反撃	はんげき	counterattack, counteroffensive, counterblow	 MediaMissing 
判決	はんけつ	judicial decision, judgment, sentence, decree	 MediaMissing 
反射	はんしゃ	reflection, reverberation	 MediaMissing 
繁盛	はんじょう	prosperity, flourishing, thriving	 MediaMissing 
繁殖	はんしょく	breed, multiply, propagation	 MediaMissing 
反する	はんする	to be inconsistent with, to oppose, to contradict	 MediaMissing 
判定	はんてい	judgment, decision, award, verdict	 MediaMissing 
万人	ばんにん	all people, everybody, 10000 people	 MediaMissing 
晩年	ばんねん	(one's) last years	 MediaMissing 
反応	はんのう	reaction, response	 MediaMissing 
万能	ばんのう	all-purpose, almighty, omnipotent	 MediaMissing 
半端	はんぱ	fragment, fraction, incompleteness	 MediaMissing 
反発	はんぱつ	repelling, rebound, oppose	 MediaMissing 
反乱	はんらん	rebellion, revolt, uprising	 MediaMissing 
氾濫	はんらん	overflowing, flood	 MediaMissing 
美	び	beauty	 MediaMissing 
ひいては	ひいては	not only…but also, in addition to, consequently	 MediaMissing 
ビールス	ビールス	virus	 MediaMissing 
控室	ひかえしつ	waiting room	 MediaMissing 
控える	ひかえる	to hold back; to make notes	 MediaMissing 
悲観	ひかん	pessimism, disappointment	 MediaMissing 
引き上げる	ひきあげる	to withdraw, to leave, to pull out	 MediaMissing 
率いる	ひきいる	to lead, to spearhead (a group), to command (troops)	 MediaMissing 
引き起こす	ひきおこす	to cause	 MediaMissing 
引下げる	ひきさげる	to pull down, to lower, to reduce, to withdraw	 MediaMissing 
引きずる	ひきずる	to drag along, to pull, to prolong	 MediaMissing 
引取る	ひきとる	to take back; to adopt; to leave	 MediaMissing 
否決	ひけつ	rejection, negation, voting down	 MediaMissing 
日頃	ひごろ	normally, habitually	 MediaMissing 
久しい	ひさしい	long, long-continued, old (story)	 MediaMissing 
悲惨	ひさん	tragedy, disaster; misery, wretched, pitiful	 MediaMissing 
ビジネス	ビジネス	business	MediaMissing   Genki_Ln.2 Genki_Ln.1 Genki
比重	ひじゅう	specific gravity	 MediaMissing 
美術	びじゅつ	art, fine arts	 MediaMissing 
秘書	ひしょ	(private) secretary	 MediaMissing 
微笑	びしょう	smile	 MediaMissing 
歪む	ひずむ	to warp, to be distorted	 MediaMissing 
密か	ひそか	secret, private, surreptitious	 MediaMissing 
浸す	ひたす	to soak, to dip, to drench	 MediaMissing 
ひたすら	ひたすら	nothing but, earnestly, intently	 MediaMissing 
左利き	ひだりきき	left-handedness, sake drinker, left-hander	 MediaMissing 
引っ掻く	ひっかく	to scratch	 MediaMissing 
必修	ひっしゅう	required (subject)	 MediaMissing 
びっしょり	びっしょり	wet through, drenched	 MediaMissing 
必然	ひつぜん	inevitable, necessary	 MediaMissing 
匹敵	ひってき	comparing with, rival, equal	 MediaMissing 
一息	ひといき	a breath, a pause, an effort	 MediaMissing 
人影	ひとかげ	man's shadow, soul	 MediaMissing 
人柄	ひとがら	personality, character	 MediaMissing 
人気	ひとけ	sign of life	 MediaMissing 
一頃	ひところ	once, some time ago	 MediaMissing 
人質	ひとじち	hostage	 MediaMissing 
一筋	ひとすじ	a line, earnestly, blindly, straightforwardly	 MediaMissing 
人目	ひとめ	glimpse, public gaze	 MediaMissing 
日取り	ひどり	fixed date, appointed day	 MediaMissing 
雛	ひな	young bird, chick, doll	 MediaMissing 
雛祭	ひなまつり	Girls' (dolls') Festival	 MediaMissing 
日向	ひなた	sunny place, in the sun	 MediaMissing 
非難	ひなん	blame, attack, criticism	 MediaMissing 
避難	ひなん	taking refuge, finding shelter	 MediaMissing 
日の丸	ひのまる	the Japanese flag	 MediaMissing 
火花	ひばな	spark	 MediaMissing 
ひび (かべの～)	ひび (かべの～)	crack, fissure, flaw	 MediaMissing 
悲鳴	ひめい	shriek, scream	 MediaMissing 
冷やかす	ひやかす	to banter, to make fun of, to jeer at, to cool, to refrigerate	 MediaMissing 
日焼け	ひやけ	sunburn	 MediaMissing 
標語	ひょうご	motto, slogan, catchword	 MediaMissing 
描写	びょうしゃ	depiction, description, portrayal	 MediaMissing 
ひょっと	ひょっと	possibly, accidentally	 MediaMissing 
びら	びら	handout, leaflet	 MediaMissing 
平たい	ひらたい	flat, even, level	 MediaMissing 
びり	びり	last on the list, at the bottom	 MediaMissing 
比率	ひりつ	ratio, proportion, percentage	 MediaMissing 
微量	びりょう	minuscule amount, extremely small quantity	 MediaMissing 
昼飯	ひるめし	lunch (mid-day meal)	 MediaMissing 
比例	ひれい	proportion	 MediaMissing 
疲労	ひろう	fatigue, weariness	 MediaMissing 
敏感	びんかん	sensibility, susceptibility, sensitive (to)	 MediaMissing 
貧困	ひんこん	poverty, lack	 MediaMissing 
品質	ひんしつ	quality	 MediaMissing 
貧弱	ひんじゃく	poor, meager, insubstantial	 MediaMissing 
品種	ひんしゅ	breed, type, variety	 MediaMissing 
ヒント	ヒント	hint	 MediaMissing 
頻繁	ひんぱん	frequency	 MediaMissing 
貧乏	びんぼう	poverty, destitute, poor	 MediaMissing 
ファイト	ファイト	fight	 MediaMissing 
ファイル	ファイル	file; portfolio	 Genki_Ln.16  MediaMissing Genki
ファン	ファン	fan	 MediaMissing 
不意	ふい	sudden, abrupt, unexpected	 MediaMissing 
フィルタ	フィルタ	filter	 MediaMissing 
封	ふう	seal	 MediaMissing 
封鎖	ふうさ	blockade, freezing (funds)	 MediaMissing 
風車	ふうしゃ	windmill	 MediaMissing 
風習	ふうしゅう	custom	 MediaMissing 
風俗	ふうぞく	manners, customs; sex industry	 MediaMissing 
ブーツ	ブーツ	boots	 MediaMissing 
風土	ふうど	natural features, climate	 MediaMissing 
ブーム	ブーム	boom	 MediaMissing 
フォーム	フォーム	foam; form	 MediaMissing 
部下	ぶか	one's subordinate	MediaMissing  Intermediate_Japanese  Intermediate_Japanese_Ln.9 Genki_Ln.22 Genki
不可欠	ふかけつ	indispensable, essential	 MediaMissing 
ぶかぶか	ぶかぶか	too big, baggy	 MediaMissing 
不吉	ふきつ	ominous, sinister, bad luck, ill omen	 MediaMissing 
不況	ふきょう	recession, depression, slump	 MediaMissing 
布巾	ふきん	dish cloth	 MediaMissing 
複合	ふくごう	composite, complex	 MediaMissing 
福祉	ふくし	welfare, well-being	 MediaMissing 
覆面	ふくめん	mask, veil, disguise	 MediaMissing 
膨れる	ふくれる	to swell (out), to be inflated, to bulge	 MediaMissing 
不景気	ふけいき	business recession, hard times, depression	 MediaMissing 
耽る	ふける	to indulge in, to give oneself up to, to be absorbed in	 MediaMissing 
老ける	ふける	to age	 MediaMissing 
富豪	ふごう	wealthy person, millionaire	 MediaMissing 
布告	ふこく	edict, ordinance, proclamation	 MediaMissing 
ブザー	ブザー	buzzer	 MediaMissing 
負債	ふさい	debt, liabilities	 MediaMissing 
不在	ふざい	absence	 MediaMissing 
ふさわしい	ふさわしい	appropriate	 MediaMissing 
不順	ふじゅん	irregularity, unseasonableness	 MediaMissing 
負傷	ふしょう	injury, wound	 MediaMissing 
侮辱	ぶじょく	insult, contempt, slight	 MediaMissing 
不審	ふしん	suspicious, doubt, infidelity	 MediaMissing 
不振	ふしん	dullness, slump, stagnation	 MediaMissing 
武装	ぶそう	arms, armament, armed	 MediaMissing 
札	ふだ	token, label; ticket, card; charm, talisman	 MediaMissing 
負担	ふたん	burden; load	 MediaMissing Intermediate_Japanese_Ln.14  Intermediate_Japanese
不調	ふちょう	bad condition, disorder, slump	 MediaMissing 
復活	ふっかつ	revival (e.g., musical), restoration	 MediaMissing 
物議	ぶつぎ	public discussion (criticism)	 MediaMissing 
復旧	ふっきゅう	restoration, restitution, rehabilitation	 MediaMissing 
復興	ふっこう	revival, renaissance, reconstruction	 MediaMissing 
物資	ぶっし	goods, materials	 MediaMissing 
仏像	ぶつぞう	Buddhist image (statue)	 MediaMissing 
物体	ぶったい	object	 MediaMissing 
沸騰	ふっとう	boiling, seething	 MediaMissing 
不当	ふとう	injustice, impropriety, unfair	 MediaMissing 
不動産	ふどうさん	real estate	 MediaMissing 
無難	ぶなん	safety, security	 MediaMissing 
赴任	ふにん	(proceeding to) new appointment	 MediaMissing 
腐敗	ふはい	decay, depravity	 MediaMissing 
不評	ふひょう	bad reputation, disgrace, unpopularity	 MediaMissing 
不服	ふふく	dissatisfaction, discontent, disapproval	 MediaMissing 
普遍	ふへん	universality, ubiquity, omnipresence	 MediaMissing 
踏まえる	ふまえる	to be based on, to have origin in	 MediaMissing 
踏み込む	ふみこむ	to step into (someone else's territory, to break into, to raid	 MediaMissing 
不明	ふめい	unknown, ambiguous	 MediaMissing 
部門	ぶもん	class, group, category, department, field, branch	 MediaMissing 
扶養	ふよう	support, maintenance	 MediaMissing 
ふらふら	ふらふら	unsteady on one's feet, totter, dizzy	 MediaMissing 
ぶらぶら	ぶらぶら	dangle heavily, sway to and fro, stroll idly	 MediaMissing 
振り返る	ふりかえる	to turn head, to turn around, to look back	 MediaMissing 
振り出し	ふりだし	outset, starting point, drawing or issuing (draft)	 MediaMissing 
不良	ふりょう	badness, delinquent, failure	 MediaMissing 
浮力	ふりょく	buoyancy	 MediaMissing 
武力	ぶりょく	armed might, military power, the sword, force	 MediaMissing 
ブル	ブル	bull	 MediaMissing 
震わせる	ふるわせる	to be shaking, to be trembling	 MediaMissing 
無礼	ぶれい	impolite, rude	 MediaMissing 
付録	ふろく	appendix, supplement	 MediaMissing 
フロント	フロント	front	 MediaMissing 
憤慨	ふんがい	indignation, resentment	 MediaMissing 
文化財	ぶんかざい	cultural assets, cultural property	 MediaMissing 
分業	ぶんぎょう	division of labor, specialization, assembly-line production	 MediaMissing 
文語	ぶんご	written language, literary language	 MediaMissing 
分散	ぶんさん	dispersion, decentralization, variance (statistics)	 MediaMissing 
分子	ぶんし	numerator, molecule	 MediaMissing 
紛失	ふんしつ	losing something	 MediaMissing 
噴出	ふんしゅつ	spewing, gushing, spouting	 MediaMissing 
文書	ぶんしょ	document, writing	 MediaMissing 
紛争	ふんそう	dispute, trouble, strife	 MediaMissing 
ふんだん	ふんだん	plentiful, abundant, lavish	 MediaMissing 
分担	ぶんたん	apportionment, sharing	 MediaMissing 
奮闘	ふんとう	hard struggle, strenuous effort	 MediaMissing 
分配	ぶんぱい	division, sharing	 MediaMissing 
分母	ぶんぼ	denominator	 MediaMissing 
粉末	ふんまつ	fine powder	 MediaMissing 
分離	ぶんり	separation, detachment, segregation	 MediaMissing 
分裂	ぶんれつ	split, division, break up	 MediaMissing 
ペア	ペア	pair, pear	 MediaMissing 
兵器	へいき	arms, weapons, ordinance	 MediaMissing 
閉口	へいこう	shut mouth	 MediaMissing 
閉鎖	へいさ	closing, closure, shutdown	 MediaMissing 
兵士	へいし	soldier	 MediaMissing 
平常	へいじょう	normal, usual	 MediaMissing 
平方	へいほう	square (e.g., meter, square)	 MediaMissing 
並列	へいれつ	arrangement, parallel, abreast	 MediaMissing 
ベース	ベース	base, bass	 MediaMissing 
辟易	へきえき	wince, shrink back, succumbing to, being frightened	 MediaMissing 
ぺこぺこ	ぺこぺこ	fawn, be very hungry	 MediaMissing 
ベスト	ベスト	best; vest	 MediaMissing 
ベストセラー	ベストセラー	best-seller	 MediaMissing 
隔たる	へだたる	to be distant	 MediaMissing 
縁	へり	edge	 MediaMissing 
へりくだる	へりくだる	to deprecate oneself and praise the listener	 MediaMissing 
弁解	べんかい	explanation, justification, excuse	 MediaMissing 
変革	へんかく	change, reform(the) Reformation	 MediaMissing 
返還	へんかん	return, restoration	 MediaMissing 
便宜	べんぎ	convenience, accommodation	 MediaMissing 
偏見	へんけん	prejudice, narrow view	 MediaMissing 
弁護	べんご	defense, pleading, advocacy	 MediaMissing 
返済	へんさい	repayment	 MediaMissing 
弁償	べんしょう	compensation, reparation, reimbursement	 MediaMissing 
変遷	へんせん	change, transition, vicissitudes	 MediaMissing 
返答	へんとう	reply	 MediaMissing 
変動	へんどう	change, fluctuation	 MediaMissing 
弁論	べんろん	discussion, debate, argument	 MediaMissing 
穂	ほ	ear (of plant), head (of plant)	 MediaMissing 
保育	ほいく	nursing, nurturing, rearing	 MediaMissing 
ボイコット	ボイコット	boycott	 MediaMissing 
ポイント	ポイント	point	 MediaMissing 
法案	ほうあん	bill (law)	 MediaMissing 
防衛	ぼうえい	defense, protection, self-defense	 MediaMissing 
防火	ぼうか	fire prevention, fire fighting, fire proof	 MediaMissing 
崩壊	ほうかい	collapse, decay (physics), crumbling	 MediaMissing 
妨害	ぼうがい	disturbance, obstruction, interference	 MediaMissing 
法学	ほうがく	law, jurisprudence	 MediaMissing 
封建	ほうけん	feudalistic	 MediaMissing 
豊作	ほうさく	abundant harvest, bumper crop	 MediaMissing 
方策	ほうさく	plan, policy	 MediaMissing 
奉仕	ほうし	attendance, service	 MediaMissing 
方式	ほうしき	form, method, system	 MediaMissing 
放射	ほうしゃ	radiation, emission	 MediaMissing 
放射能	ほうしゃのう	radioactivity	 MediaMissing 
報酬	ほうしゅう	remuneration, recompense, reward	 MediaMissing 
放出	ほうしゅつ	release, emit	 MediaMissing 
報じる	ほうじる	to inform, to report	 MediaMissing 
報ずる	ほうずる	to inform, to report	 MediaMissing 
紡績	ぼうせき	spinning	 MediaMissing 
呆然	ぼうぜん	dumbfounded, overcome with surprise	 MediaMissing 
放置	ほうち	leave as is, leave alone, neglect	 MediaMissing 
膨張	ぼうちょう	expansion, swelling, increase	 MediaMissing 
法廷	ほうてい	courtroom	 MediaMissing 
報道	ほうどう	coverage, report	 MediaMissing 
冒頭	ぼうとう	beginning, start, outset	 MediaMissing 
暴動	ぼうどう	insurrection, riot, uprising	 MediaMissing 
褒美	ほうび	reward, prize	 MediaMissing 
暴風	ぼうふう	storm, windstorm, gale	 MediaMissing 
葬る	ほうむる	to bury, to entomb	 MediaMissing 
放り込む	ほうりこむ	to throw into	 MediaMissing 
放り出す	ほうりだす	to throw out, to give up, to abandon	 MediaMissing 
暴力	ぼうりょく	violence	 MediaMissing 
飽和	ほうわ	saturation	 MediaMissing 
ホース	ホース	hose	 MediaMissing 
ポーズ	ポーズ	pause	 MediaMissing 
ホール	ホール	hall; hole	 MediaMissing 
保温	ほおん	retaining warmth, keeping heat in, heat insulation	 MediaMissing 
捕獲	ほかく	capture, seizure	 MediaMissing 
保管	ほかん	custody, safekeeping, storage	 MediaMissing 
補給	ほきゅう	supply, supplying, replenishment	 MediaMissing 
補強	ほきょう	reinforcement	 MediaMissing 
募金	ぼきん	fund-raising, collection of funds	 MediaMissing 
牧師	ぼくし	pastor, minister, clergyman	 MediaMissing 
捕鯨	ほげい	whaling	 MediaMissing 
惚ける	ぼける	to grow senile, to fade	 MediaMissing 
保険	ほけん	insurance, guarantee	 MediaMissing 
母校	ぼこう	alma mater	 MediaMissing 
母国	ぼこく	one's home country (same as 自分の国 (じぶんのくに))	 MediaMissing  Intermediate_Japanese_Ln.15 Intermediate_Japanese
誇る	ほこる	to boast of, to be proud of	 MediaMissing 
綻びる	ほころびる	to come apart at the seams, to smile broadly	 MediaMissing 
干し～	ほし～	dried ~	 MediaMissing 
ポジション	ポジション	position	 MediaMissing 
干し物	ほしもの	dried washing (clothes	 MediaMissing 
保守	ほしゅ	conservative, maintaining	 MediaMissing 
補充	ほじゅう	supplementation, replenishment, replenishing	 MediaMissing 
補助	ほじょ	assistance, support, auxiliary	 MediaMissing 
舗装	ほそう	pavement, road surface	 MediaMissing 
補足	ほそく	supplement, complement	 MediaMissing 
墓地	ぼち	cemetery, graveyard	 MediaMissing 
発作	ほっさ	fit, attack	 MediaMissing 
没収	ぼっしゅう	forfeited	 MediaMissing 
発足	ほっそく	starting, inauguration	 MediaMissing 
ポット	ポット	pot	 MediaMissing 
ほっぺた	ほっぺた	cheek	 MediaMissing 
ぼつぼつ	ぼつぼつ	gradually, here and there, spots	 MediaMissing 
没落	ぼつらく	ruin, fall, collapse	 MediaMissing 
解ける	ほどける	to come untied, to come apart	 MediaMissing 
施す	ほどこす	to give, to conduct, to perform	 MediaMissing 
ほとり	ほとり	vicinity of lake; river	 MediaMissing 
ぼやく	ぼやく	to grumble, to complain	 MediaMissing 
ぼやける	ぼやける	to become dim, to become blurred	 MediaMissing 
保養	ほよう	health preservation, recuperation, recreation	 MediaMissing 
捕虜	ほりょ	prisoner of war	 MediaMissing 
ボルト	ボルト	volt; bolt	 MediaMissing 
滅びる	ほろびる	to be ruined, to perish, to be destroyed	 MediaMissing 
滅ぼす	ほろぼす	to destroy, to overthrow, to ruin	 MediaMissing 
本格	ほんかく	propriety, full-scale	 MediaMissing 
本館	ほんかん	main building	 MediaMissing 
本気	ほんき	seriousness, truth, sanctity	 MediaMissing 
本国	ほんごく	one's own country	 MediaMissing 
本質	ほんしつ	essence, true nature, reality	 MediaMissing 
本体	ほんたい	substance, body, trunk	 MediaMissing 
本音	ほんね	(one's) real intention, motive	 MediaMissing  Intermediate_Japanese_Ln.15 Intermediate_Japanese
本能	ほんのう	instinct	 MediaMissing 
本場	ほんば	home, best place, genuine	 MediaMissing 
ポンプ	ポンプ	pump	 MediaMissing 
本文	ほんぶん	text (of document), body (of letter)	 MediaMissing 
本名	ほんみょう	real name	 MediaMissing 
マーク	マーク	mark	 MediaMissing 
マイ～	マイ～	my ~, one's own ~	 MediaMissing 
マイクロフォン	マイクロフォン	microphone	 MediaMissing 
埋蔵	まいぞう	buried property, treasure trove	 MediaMissing 
舞う	まう	to dance, to flutter about, to revolve	 MediaMissing 
真上	まうえ	just above, right overhead	 MediaMissing 
前売	まえうり	advance sale, booking	 MediaMissing 
前置き	まえおき	preface, introduction	 MediaMissing 
任す	まかす	to entrust, to leave to a person	 MediaMissing 
負かす	まかす	to defeat	 MediaMissing 
賄う	まかなう	to give board to, to provide meals, to pay	 MediaMissing 
紛らわしい	まぎらわしい	confusing, misleading, ambiguous	 MediaMissing 
紛れる	まぎれる	to be diverted, to slip into	 MediaMissing 
真心	まごころ	sincerity, devotion	 MediaMissing 
まごつく	まごつく	to be confused, to be flustered	 MediaMissing 
誠	まこと	truth, faith, fidelity	 MediaMissing 
誠に	まことに	indeed, really (very polite), absolutely	 MediaMissing  Genki_Ln.20 Genki
まさしく	まさしく	surely, no doubt, evidently	 MediaMissing 
勝る	まさる	to excel, to surpass, to out-rival	 MediaMissing 
～増し	～増し	~increase	 MediaMissing 
交える	まじえる	to mix, to converse with, to cross (swords)	 MediaMissing 
真下	ました	right under, directly below	 MediaMissing 
まして	まして	still more, still less (with neg. verb), to say nothing of	 MediaMissing 
交わる	まじわる	to cross, to intersect, to mingle with,	 MediaMissing 
麻酔	ますい	anesthesia	 MediaMissing 
またがる (うまを～)	またがる (うまを～)	to straddle	 MediaMissing 
待ち合わせ	まちあわせ	appointment	 MediaMissing 
待ち遠しい	まちどおしい	looking forward to	 MediaMissing 
待ち望む	まちのぞむ	to look anxiously for, to wait eagerly for	 MediaMissing 
まちまち	まちまち	various, different	 MediaMissing 
末期	まっき	deathbed, hour of death	 MediaMissing 
真っ二つ	まっぷたつ	in two equal parts	 MediaMissing 
まと	まと	mark, target	 MediaMissing 
纏まり	まとまり	conclusion, settlement, consistency	 MediaMissing 
纏め	まとめ	settlement, conclusion	 MediaMissing 
免れる	まぬがれる	to escape from, to be exempted	 MediaMissing 
招き	まねき	invitation	 MediaMissing 
瞬き	まばたき	wink, twinkling (of stars), flicker (of light)	 MediaMissing 
麻痺	まひ	paralysis, palsy, numbness	 MediaMissing 
～まみれ	～まみれ	covered with (by, in) ~	 MediaMissing 
眉	まゆ	eyebrow	 MediaMissing 
鞠	まり	ball	 MediaMissing 
丸ごと	まるごと	in its entirety, whole, wholly	 MediaMissing 
まるっきり	まるっきり	completely, perfectly, just as if	 MediaMissing 
丸々	まるまる	completely	 MediaMissing 
丸める	まるめる	to make round, to round off, to roll up	 MediaMissing 
満月	まんげつ	full moon	 MediaMissing 
満場	まんじょう	unanimous, whole audience	 MediaMissing 
真ん前	まんまえ	right in front, under the nose	 MediaMissing 
真ん丸い	まんまるい	perfectly circular	 MediaMissing 
真ん円い	まんまるい	perfectly round	 MediaMissing 
～味	～み	~ cast (sense of taste)	 MediaMissing 
見合い	みあい	formal marriage interview	 MediaMissing 
見合わせる	みあわせる	to exchange glances; to postpone	 MediaMissing 
見落とす	みおとす	to overlook, to fail to notice	 MediaMissing 
未開	みかい	savage land, backward region, uncivilized	 MediaMissing 
味覚	みかく	taste, palate, sense of taste	 MediaMissing 
幹	みき	(tree) trunk	 MediaMissing 
見苦しい	みぐるしい	unsightly, ugly	 MediaMissing 
見込み	みこみ	prospects, expectation, hope	 MediaMissing 
未婚	みこん	unmarried	 MediaMissing 
未熟	みじゅく	inexperience, unskilled, immature	 MediaMissing 
微塵	みじん	particle, atom	 MediaMissing 
水気	みずけ	moisture, dampness	 MediaMissing 
ミスプリント	ミスプリント	misprint	 MediaMissing 
みすぼらしい	みすぼらしい	shabby, seedy	 MediaMissing 
ミセス	ミセス	Mrs.	 MediaMissing 
見せびらかす	みせびらかす	to show off, to flaunt	 MediaMissing 
見せ物	みせもの	show, exhibition	 MediaMissing 
溝	みぞ	ditch, drain, gutter, gap	 MediaMissing 
満たす	みたす	to satisfy, to ingratiate, to fill, to fulfill	 MediaMissing 
乱す	みだす	to throw out of order, to disarrange, to disturb	 MediaMissing 
乱れる	みだれる	to get confused, to be disordered, to be disturbed	 MediaMissing 
未知	みち	not yet known	 MediaMissing 
身近	みぢか	near oneself, close to one, familiar	 MediaMissing 
導く	みちびく	to be guided, to be shown	 MediaMissing 
密集	みっしゅう	crowd, close formation, dense	 MediaMissing 
密接	みっせつ	connected, close, intimate	 MediaMissing 
密度	みつど	density	 MediaMissing 
見積もり	みつもり	estimation, quotation	 MediaMissing 
未定	みてい	not yet fixed, undecided, pending	 MediaMissing 
見通し	みとおし	perspective, unobstructed view, prospect	 MediaMissing 
見なす	みなす	to consider as, to regard	 MediaMissing 
源	みなもと	source, origin	 MediaMissing 
見習う	みならう	to follow another's example	 MediaMissing 
身なり	みなり	personal appearance	 MediaMissing 
峰	みね	peak, ridge	 MediaMissing 
身の上	みのうえ	one's future, one's welfare, one's personal history	 MediaMissing 
見逃す	みのがす	to miss, to overlook, to leave at large	 MediaMissing 
身の回り	みのまわり	one's personal appearance, personal belongings	 MediaMissing 
見計らう	みはからう	to choose at one's own discretion	 MediaMissing 
見晴らし	みはらし	view	 MediaMissing 
身振り	みぶり	gesture	 MediaMissing  Intermediate_Japanese Intermediate_Japanese_Ln.11
脈	みゃく	pulse	 MediaMissing 
ミュージック	ミュージック	music	 MediaMissing 
未練	みれん	lingering affection, attachment, regret(s)	 MediaMissing 
見渡す	みわたす	to look out over, to survey (scene), to take an extensive view of	 MediaMissing 
民宿	みんしゅく	private house providing lodging and meals to tourists	 MediaMissing  Intermediate_Japanese_Ln.10 Intermediate_Japanese
民族	みんぞく	people, race	 MediaMissing 
民俗	みんぞく	folk customs	 MediaMissing 
無意味	むいみ	nonsense, no meaning	 MediaMissing 
ムード	ムード	mood	 MediaMissing 
無口	むくち	reticence	 MediaMissing 
婿	むこ	son-in-law	 MediaMissing 
無効	むこう	invalid, no effect, unavailable	 MediaMissing 
無言	むごん	silence	 MediaMissing 
無邪気	むじゃき	innocence, simple-mindedness	 MediaMissing 
むしる	むしる	to pluck, to pick, to tear	 MediaMissing 
結び	むすび	ending, conclusion, union	 MediaMissing 
結び付き	むすびつき	connection, relation	 MediaMissing 
結び付く	むすびつく	to be connected or related, to join together	 MediaMissing 
結び付ける	むすびつける	to combine, to join, to tie on, to attach with a knot	 MediaMissing 
無線	むせん	wireless, radio	 MediaMissing 
無駄遣い	むだづかい	waste money on, squander money on	 MediaMissing  Genki_Ln.22 Genki
無断	むだん	without permission, without notice	 MediaMissing 
無知	むち	ignorance	 MediaMissing 
無茶	むちゃ	absurd, unreasonable	 MediaMissing  Intermediate_Japanese_Ln.12 Intermediate_Japanese
無茶苦茶	むちゃくちゃ	confused, jumbled, mixed up, unreasonable	 MediaMissing 
空しい	むなしい	vacant, futile, vain	 MediaMissing 
無念	むねん	chagrin, regret	 MediaMissing 
無能	むのう	inefficiency, incompetence	 MediaMissing 
無闇に	むやみに	unreasonably, absurdly, at random	 MediaMissing 
無用	むよう	useless, needlessness, unnecessariness	 MediaMissing 
斑	むら	unevenness, inconsistency, irregularity	 MediaMissing 
群がる	むらがる	to swarm, to gather	 MediaMissing 
無論	むろん	of course, naturally	 MediaMissing 
名産	めいさん	noted product	 MediaMissing 
名称	めいしょう	name	 MediaMissing 
命中	めいちゅう	a hit	 MediaMissing 
明白	めいはく	obvious, clear	 MediaMissing 
名簿	めいぼ	register of names	 MediaMissing 
名誉	めいよ	honor, credit, prestige	 MediaMissing 
明瞭	めいりょう	clarity	 MediaMissing 
明朗	めいろう	bright, clear, cheerful	 MediaMissing 
メーカー	メーカー	manufacturer	 MediaMissing 
目方	めかた	weight	 MediaMissing 
恵み	めぐみ	blessing	 MediaMissing 
恵む	めぐむ	to bless, to show mercy to	 MediaMissing 
目覚しい	めざましい	brilliant, remarkable	 MediaMissing 
目覚める	めざめる	to wake up	 MediaMissing 
召す	めす	to call, to send for, to put on	 MediaMissing 
雌	めす	female (animal)	 MediaMissing 
目付き	めつき	look, expression of the eyes, eyes	 MediaMissing 
滅亡	めつぼう	downfall, collapse, destruction	 MediaMissing 
メディア	メディア	media	 MediaMissing 
目途	めど	goal, outlook	 MediaMissing 
目盛	めもり	scale, gradations	 MediaMissing 
メロディー	メロディー	melody	 MediaMissing 
面会	めんかい	interview	 MediaMissing 
免除	めんじょ	exemption, exoneration, discharge	 MediaMissing 
面する	めんする	to face on, to look out on to	 MediaMissing 
面目	めんぼく	face, honor, reputation	 MediaMissing 
面目	めんもく	face, honor, reputation	 MediaMissing 
～網	～もう	~ network	 MediaMissing 
設ける	もうける	to create, to establish	 MediaMissing 
申し入れる	もうしいれる	to propose, to suggest	 MediaMissing 
申込	もうしこみ	application, request, proposal	 MediaMissing 
申出	もうしで	request, claim, report	 MediaMissing 
申し出る	もうしでる	to report to, to tell, to suggest	 MediaMissing 
申し分	もうしぶん	objection, shortcomings	 MediaMissing 
盲点	もうてん	blind spot	 MediaMissing 
猛烈	もうれつ	violent, vehement, rage	 MediaMissing 
モーテル	モーテル	motel	 MediaMissing 
もがく	もがく	to struggle, to wriggle, to be impatient	 MediaMissing 
目録	もくろく	catalogue, catalog, list	 MediaMissing 
目論見	もくろみ	a plan, a scheme, intention	 MediaMissing 
模型	もけい	model, dummy, marquette	 MediaMissing 
模索	もさく	groping (for)	 MediaMissing 
もしかして	もしかして	perhaps, possibly	 MediaMissing 
もしくは	もしくは	or, otherwise	 MediaMissing 
もたらす	もたらす	to bring, to take, to bring about	 MediaMissing 
持ち切り	もちきり	hot topic, talk of the town	 MediaMissing 
目下	もっか	at present, now	 MediaMissing 
専ら	もっぱら	wholly, solely, entirely	 MediaMissing 
もてなす	もてなす	to entertain, to make welcome	 MediaMissing 
もてる	もてる	to be well liked, to be popular	 MediaMissing 
モニター	モニター	(computer) monitor	 MediaMissing 
物好き	ものずき	(idle) curiosity	 MediaMissing 
物足りない	ものたりない	unsatisfied, unsatisfactory	 MediaMissing 
もはや	もはや	already, now	 MediaMissing 
模範	もはん	model, example	 MediaMissing 
模倣	もほう	imitation, copying	 MediaMissing 
もめる	もめる	to disagree, to dispute	 MediaMissing 
股	もも	thigh, femur	 MediaMissing 
腿	もも	thigh, femur	 MediaMissing 
催す	もよおす	to hold (a meeting), to give (a dinner)	 MediaMissing 
